2.1384	-14.85520035265076	-14.854096602769504	-14.854303212305984
2.27205	-14.8626924567362	-14.861505060607788	-14.8617283072281
2.4057	-14.867804950036811	-14.866352544596959	-14.866733952803743
2.53935	-14.871021391134594	-14.869783158703616	-14.869802215967958
2.673	-14.872751349912765	-14.871613702750256	-14.871338942690066
2.80665	-14.873334196094842	-14.872615087834223	-14.871677974816112
3.07395	-14.872117298482575	-14.871731508009805	-14.869792344351119
3.34125	-14.869021392839349	-14.868595807508234	-14.865726120645297
3.6	-14.865764543988384	-14.864871478356616	-14.860658691142554
3.8	-14.864211524370143	-14.861089764529693	-14.85635550298928
4.0095	-14.862459537212766	-14.85717796185009	-14.851699702928583
4.2	-14.86085037325422	-14.85406546999816	-14.847449712220692
4.67775	-14.857073861155694	-14.847258990526571	-14.837157448378742
4.8	-14.856202010933218	-14.843210823922654	-14.834662579232678
5.0	-14.854871618314162	-14.840519205819236	-14.830730392307876
5.36	-14.852778735851487	-14.834861128254207	-14.824150370635024
6.0	-14.854190853370502	-14.826790961468344	-14.81405322159503
6.4	-14.854908178914403	-14.843680866790315	-14.808720429071535
6.85	-14.85556662426535	-14.849151232358292	-14.803519895521111
8.0	-14.856827765087685	-14.850483067885746	-14.79337202761461
10.0	-14.858249748113257	-14.855175223174767	-14.782944461605174
