2.1384	-14.855200345609626	-14.855181392883031	-14.854303212305984
2.27205	-14.862692455027863	-14.862640037240402	-14.8617283072281
2.4057	-14.86780495088768	-14.867775069911206	-14.866733952803743
2.53935	-14.871021386828211	-14.870995922264484	-14.869802215967958
2.673	-14.872751344117084	-14.872723969819276	-14.871338942690066
2.80665	-14.873334188682325	-14.873295004810632	-14.871677974816112
3.07395	-14.872117287202368	-14.87210574262756	-14.869792344351119
3.34125	-14.869021336713674	-14.868983059496353	-14.865726120645297
3.6	-14.865764964633417	-14.865239460850056	-14.860658691142554
3.8	-14.864211907184364	-14.862212884040195	-14.85635550298928
4.0095	-14.86245988309828	-14.859231951385587	-14.851699702928583
4.2	-14.860850686622989	-14.856791420189936	-14.847449712220692
4.67775	-14.857074094108322	-14.852277635644144	-14.837157448378742
4.8	-14.85620222365143	-14.851502939095345	-14.834662579232678
5.0	-14.854871798721081	-14.850638778857707	-14.830730392307876
5.36	-14.852778862256867	-14.849575549757688	-14.824150370635024
6.0	-14.854191049349177	-14.849960904486453	-14.81405322159503
6.4	-14.854908285232648	-14.851044942190649	-14.808720429071535
6.85	-14.855566661928279	-14.852048996709502	-14.803519895521111
8.0	-14.85682772990854	-14.854710925843051	-14.79337202761461
10.0	-14.858249709190268	-14.857425569392325	-14.782944461605174
